Notable companies,,,,,,,,,,,,,
Name,Industry,Sector,Headquarters,Founded,Notes,,,,,,,,
361 Degrees,Consumer goods,Clothing & accessories,Jinjiang,2003,Sporting goods,,,,,,,,
Agricultural Bank of China,Financials,Banks,Beijing,1951,Bank,,,,,,,,
Aigo,Consumer goods,Consumer electronics,Beijing,1993,Consumer electronics,,,,,,,,
Air China,Consumer services,Airlines,Beijing,1988,Flag-carrier airline,,,,,,,,
Alibaba Group,Technology,Internet,Hangzhou,1999,Online holdings,,,,,,,,
Aluminum Corporation of China Limited,Basic materials,Aluminum,Beijing,2001,Aluminum,,,,,,,,
Amoi,Industrials,Electronic equipment,Xiamen,1997,Electronics manufacturing,,,,,,,,
Anta Sports,Consumer goods,Clothing & accessories,Jinjiang,1994,Sportswear,,,,,,,,
Baidu,Technology,Internet,Beijing,2000,Web services,,,,,,,,
Bank of China,Financials,Banks,Beijing,1912,State-owned bank,,,,,,,,
Bank of Communications,Financials,Banks,Shanghai,1908,Bank,,,,,,,,
China Baowu Steel Group,Basic materials,Iron & steel,Shanghai,1978,Steel,,,,,,,,
Beijing Hualian Group,Consumer services,Broadline retailers,Beijing,1993[3],Retailer,,,,,,,,
Bolisi,Consumer goods,Personal products,?,?,Hair care products,,,,,,,,
Bosideng,Consumer goods,Clothing & accessories,Shanghai,1975,Apparel,,,,,,,,
Brilliance Auto,Consumer goods,Automobiles,Shenyang,1991,Automobiles,,,,,,,,
BYD Auto,Consumer goods,Automobiles,Xi'an,2003,"Automobile, bus, etc.",,,,,,,,
Changan Automobile,Consumer goods,Automobiles,Chongqing,1962,State-owned automotive,,,,,,,,
Changhe,Consumer goods,Automobiles,Jingdezhen,1970,Automobiles,,,,,,,,
Changhong,Consumer goods,Durable household products,Mianyang,1958,Appliances,,,,,,,,
Changhong Technology,Basic materials,Commodity chemicals,Shenzhen,1987,Plastic,,,,,,,,
Chery Automobile,Consumer goods,Automobiles,Wuhu,1997,Automobiles,,,,,,,,
China Clean Energy,Basic materials,Specialty chemicals,Fuqing,1995,"Specialty chemicals, Energy",,,,,,,,
China Communications Construction,Industrials,Heavy construction,Beijing,2005,Construction,,,,,,,,
China Construction Bank,Financials,Banks,Beijing,1954,Bank,,,,,,,,
China COSCO Shipping,Industrials,Marine transportation,Shanghai,2016,Formed from COSCO and China Shipping Group,,,,,,,,
China Dongxiang,Consumer goods,Clothing & accessories,Beijing,2007,Sportswear,,,,,,,,
China Eastern Airlines,Consumer services,Airlines,Shanghai,1988,Airline,,,,,,,,
China Housing and Land Development,Financials,Banks,Xi'an,1992,Real estate,,,,,,,,
China International Marine Containers,Industrials,Marine transportation,Shenzhen,1980,"Shipping, logistics",,,,,,,,
China Life Insurance Company,Financials,Life insurance,Beijing,1949,Life insurance,,,,,,,,
China Medical Technologies,Health care,Medical technology,Beijing,2004,Medical devices,,,,,,,,
China Merchants Bank,Financials,Banks,Shenzhen,1987,Bank,,,,,,,,
China Merchants Energy Shipping,Industrials,Marine transportation,Shanghai,2004,Shipping line,,,,,,,,
China Metal Recycling,Industrials,Waste & disposal services,Guangzhou,2000,Recycling,,,,,,,,
China Mobile,Telecommunications,Mobile telecommunications,Beijing,1997,State-owned mobile,,,,,,,,
China National Erzhong Group,Industrials,Diversified industrials,Deyang,1958[4],Forge and metal working,,,,,,,,
China National Offshore Oil Corporation,Oil & gas,Exploration & production,Beijing,1982,Oil company,,,,,,,,
China National Petroleum Corporation,Oil & gas,Exploration & production,Beijing,1988,State-owned oil & gas,,,,,,,,
China Natural Gas,Oil & gas,Exploration & production,Xi'an,2005,Oil & gas,,,,,,,,
China Nepstar,Health care,Pharmaceuticals,Shenzhen,1995,Pharmacy chain,,,,,,,,
China Netcom,Technology,Internet,Beijing,1999,"Internet, defunct 2008",,,,,,,,
China Pabst Blue Ribbon,Consumer goods,Brewers,Zhaoqing,1988,Brewery,,,,,,,,
China Post,Industrials,Delivery services,Beijing,1997,"Postal service, shipping",,,,,,,,
China Shipping Group,Industrials,Marine transportation,Beijing,1997,Merged into China COSCO Shipping,,,,,,,,
China Southern Airlines,Consumer services,Airlines,Guangzhou,1988,Airline,,,,,,,,
China State Construction Engineering,Industrials,Heavy construction,Beijing,1957,State construction and contracting,,,,,,,,
