country_iso_3166-1_alpha-2;country_name;company_name;string_match
CN;China;361 Degrees;361 Degrees
CN;China;Agricultural Bank of China;Agricultural Bank of China
CN;China;Aigo;Aigo
CN;China;Air China;Air China
CN;China;Alibaba Group;Alibaba Group
CN;China;Aluminum Corporation of China Limited;Aluminum Corporation of China Limited
CN;China;Amoi;Amoi
CN;China;Anta Sports;Anta Sports
CN;China;Baidu;Baidu
CN;China;Bytedance;Bytedance
CN;China;Bank of China;Bank of China
CN;China;Bank of Communications;Bank of Communications
CN;China;China Baowu Steel Group;China Baowu Steel Group
CN;China;Beijing Hualian Group;Beijing Hualian Group
CN;China;Bolisi;Bolisi
CN;China;Bosideng;Bosideng
CN;China;Brilliance Auto;Brilliance Auto
CN;China;BYD Auto;BYD Auto
CN;China;Changan Automobile;Changan Automobile
CN;China;Changhe;Changhe
CN;China;Changhong;Changhong
CN;China;Changhong Technology;Changhong Technology
CN;China;Chery Automobile;Chery Automobile
CN;China;China Clean Energy;China Clean Energy
CN;China;China Communications Construction;China Communications Construction
CN;China;China Construction Bank;China Construction Bank
CN;China;China COSCO Shipping;China COSCO Shipping
CN;China;China Dongxiang;China Dongxiang
CN;China;China Eastern Airlines;China Eastern Airlines
CN;China;China Housing and Land Development;China Housing and Land Development
CN;China;China International Marine Containers;China International Marine Containers
CN;China;China Life Insurance Company;China Life Insurance Company
CN;China;China Medical Technologies;China Medical Technologies
CN;China;China Merchants Bank;China Merchants Bank
CN;China;China Merchants Energy Shipping;China Merchants Energy Shipping
CN;China;China Metal Recycling;China Metal Recycling
CN;China;China Mobile;China Mobile
CN;China;China National Erzhong Group;China National Erzhong Group
CN;China;China National Offshore Oil Corporation;China National Offshore Oil Corporation
CN;China;China National Petroleum Corporation;China National Petroleum Corporation
CN;China;China Natural Gas;China Natural Gas
CN;China;China Nepstar;China Nepstar
CN;China;China Netcom;China Netcom
CN;China;China Pabst Blue Ribbon;China Pabst Blue Ribbon
CN;China;China Post;China Post
CN;China;China Shipping Group;China Shipping Group
CN;China;China Southern Airlines;China Southern Airlines
CN;China;China State Construction Engineering;China State Construction Engineering
CN;China;China Telecom;China Telecom
CN;China;China Three Gorges Corporation;China Three Gorges Corporation
CN;China;China Tobacco;China Tobacco
CN;China;China Unicom;China Unicom
CN;China;China Universal;China Universal
CN;China;China Wu Yi;China Wu Yi
CN;China;China Zhongwang;China Zhongwang
CN;China;Chunlan Group;Chunlan Group
CN;China;CITIC Group;CITIC Group
